date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:51:18	91249/91249	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Mar%202024%2019:51:17%20GMT	https://sz-vit.si/vzdrzevanje/tovorni-vagoni/	C:/My%20Web%20Sites/Slovenia/sz-vit.si/vzdrzevanje/tovorni-vagoni/index.html	(from https://sz-vit.si/)
20:51:18	86409/86409	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Mar%202024%2019:51:17%20GMT	https://sz-vit.si/vzdrzevanje/zelezniska-vozila-za-posebne-namene/	C:/My%20Web%20Sites/Slovenia/sz-vit.si/vzdrzevanje/zelezniska-vozila-za-posebne-namene/index.html	(from https://sz-vit.si/)
20:51:18	85622/85622	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Mar%202024%2019:51:18%20GMT	https://sz-vit.si/vzdrzevanje/obdelava-in-vzdrzevanje-kolesnih-dvojic-in-komponent/	C:/My%20Web%20Sites/Slovenia/sz-vit.si/vzdrzevanje/obdelava-in-vzdrzevanje-kolesnih-dvojic-in-komponent/index.html	(from https://sz-vit.si/)
20:51:19	5/5	---M--	200	added ('OK')	text/css	etag:%2264b1430a-5%22	https://p.typekit.net/p.css?s=1&k=qfq4dkx&ht=tk&f=32227.32228.32231.32236.32237.32238&a=86615370&app=typekit&e=css	C:/My%20Web%20Sites/Slovenia/p.typekit.net/pd69b.css	(from https://use.typekit.net/qfq4dkx.css?ver=2bb24993d37f9b2bc46324d695c3cd98)
20:51:19	93890/93890	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Mar%202024%2019:51:19%20GMT	https://sz-vit.si/vzdrzevanje/dodatne-storitve/	C:/My%20Web%20Sites/Slovenia/sz-vit.si/vzdrzevanje/dodatne-storitve/index.html	(from https://sz-vit.si/)
20:51:19	65791/65791	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Mar%202024%2019:51:19%20GMT	https://sz-vit.si/publikacije/	C:/My%20Web%20Sites/Slovenia/sz-vit.si/publikacije/index.html	(from https://sz-vit.si/)
20:51:19	12612/12612	---M--	200	added ('OK')	application/font-woff2	etag:%22f5feb4b86b3d13505610c545fc3509b418c6966b%22	https://use.typekit.net/af/c2b6e5/00000000000000007735afee/30/l?primer=303ead5937c251484fa6af42166416d05dd12411b3fbfc9ae336ce2de69ae5e5&fvd=n4&v=3	C:/My%20Web%20Sites/Slovenia/use.typekit.net/af/c2b6e5/00000000000000007735afee/30/le74e	(from https://use.typekit.net/qfq4dkx.css?ver=2bb24993d37f9b2bc46324d695c3cd98)
20:51:20	63333/63333	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Mar%202024%2019:51:19%20GMT	https://sz-vit.si/informacije-javnega-znacaja/	C:/My%20Web%20Sites/Slovenia/sz-vit.si/informacije-javnega-znacaja/index.html	(from https://sz-vit.si/)
20:51:20	54489/54489	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Mar%202024%2019:51:20%20GMT	https://sz-vit.si/politika-varovanja-osebnih-podatkov/	C:/My%20Web%20Sites/Slovenia/sz-vit.si/politika-varovanja-osebnih-podatkov/index.html	(from https://sz-vit.si/)
20:51:20	13052/13052	---M--	200	added ('OK')	application/font-woff	etag:%22f5feb4b86b3d13505610c545fc3509b418c6966b%22	https://use.typekit.net/af/c2b6e5/00000000000000007735afee/30/d?primer=303ead5937c251484fa6af42166416d05dd12411b3fbfc9ae336ce2de69ae5e5&fvd=n4&v=3	C:/My%20Web%20Sites/Slovenia/use.typekit.net/af/c2b6e5/00000000000000007735afee/30/de74e	(from https://use.typekit.net/qfq4dkx.css?ver=2bb24993d37f9b2bc46324d695c3cd98)
